country,year,ai_adoption_consumer,ai_adoption_enterprise,internet_penetration,gdp_per_capita,education_index,tech_workforce_pct,cloud_infrastructure,data_availability,ai_policy_score,ai_startups_count,ai_investment_billion_usd,rd_spending_gdp_pct,ai_research_papers,stem_graduates_pct,ai_talent_rank,5g_coverage_pct,data_center_count,gpu_availability_index,ai_regulation_score,government_ai_spending,adoption_gap,ai_readiness_score,ai_index_score,ai_growth_rate,ai_global_rank
USA,2015,76.34,84.36,94.03,75328.19,0.95,8.59,86.1,92.36,80.28,6405,192.57,1.4,88006,30.73,6,100.0,263,84.16,80.28,150.38,8.02,85.16,84.6,0.0,4.0
USA,2016,82.53,92.32,88.87,75183.82,0.95,18.37,87.59,85.02,85.61,5325,168.59,1.9,88827,29.13,22,100.0,641,97.28,85.61,144.04,9.79,85.09,88.16,0.042080378250590966,2.0
USA,2017,78.81,89.61,91.0,73139.66,0.95,16.44,86.75,87.4,86.33,4317,231.99,3.98,43602,10.19,98,100.0,612,94.75,86.33,47.78,10.8,84.07,86.74,-0.01610707803992739,3.0
USA,2018,85.0,92.17,98.0,70644.32,0.95,10.5,86.44,94.13,87.75,4563,178.51,3.92,94627,36.98,59,100.0,423,83.57,87.75,51.75,7.18,82.82,89.7,0.034124971178233876,3.0
USA,2019,84.46,95.81,92.76,71091.33,0.95,3.39,85.68,89.34,89.52,5495,70.61,4.68,129366,32.17,104,100.0,273,96.57,89.52,102.35,11.35,83.05,90.06,0.004013377926421313,2.0
USA,2020,90.59,97.18,88.32,76638.64,0.95,11.19,87.46,95.46,91.1,6193,82.51,1.04,63150,43.0,39,100.0,596,88.64,91.1,153.06,6.6,85.82,92.97,0.03231179213857427,2.0
USA,2021,89.5,96.49,89.21,78092.33,0.95,7.02,83.55,92.33,85.73,8880,85.92,1.15,84519,44.5,29,100.0,632,86.75,85.73,124.5,6.99,86.55,91.09,-0.02022157685274817,3.0
USA,2022,91.83,97.46,89.0,80000.0,0.95,12.64,91.54,88.0,80.98,7617,42.33,2.8,47512,32.58,21,100.0,398,97.24,80.98,55.22,5.63,87.5,92.2,0.012185750356789926,3.0
USA,2023,91.39,100.0,90.05,76401.36,0.95,18.15,88.74,91.13,81.81,8837,162.84,2.03,64782,35.41,107,100.0,644,92.82,81.81,48.96,8.61,85.7,92.7,0.005422993492407713,3.0
USA,2024,91.06,96.77,98.0,79316.53,0.95,14.45,89.82,83.26,80.6,7477,82.93,3.7,49025,21.39,89,100.0,687,93.05,80.6,105.74,5.71,87.16,91.07,-0.01758360302049633,4.0
USA,2025,88.05,99.86,98.0,71335.73,0.95,11.05,87.12,96.57,87.65,7066,135.36,1.38,117309,19.83,3,100.0,267,97.29,87.65,150.97,11.81,83.17,92.72,0.01811793126166683,4.0
USA,2026,100.0,100.0,98.0,77564.42,0.95,7.7,91.72,87.6,83.96,4836,147.93,4.71,113591,29.95,12,100.0,775,85.29,83.96,99.88,0.0,86.28,95.16,0.026315789473684292,3.0
China,2015,90.27,97.32,98.0,80000.0,0.95,11.2,100.0,100.0,100.0,7503,220.03,3.42,129026,37.85,106,100.0,441,94.57,100.0,120.55,7.06,87.5,96.15,0.0,1.0
China,2016,85.48,94.62,98.0,80000.0,0.95,4.29,93.47,93.72,100.0,7630,213.79,1.47,116478,12.99,7,100.0,557,102.72,100.0,140.1,9.14,87.5,92.67,-0.036193447737909556,1.0
China,2017,93.46,100.0,98.0,78034.88,0.95,17.05,97.55,94.34,88.54,8703,134.21,1.28,42456,18.76,66,100.0,641,97.36,88.54,170.35,6.54,86.52,95.54,0.030970108988885414,1.0
China,2018,96.55,100.0,98.0,80000.0,0.95,2.83,96.72,100.0,88.38,4659,232.63,3.67,92878,13.42,59,100.0,298,99.67,88.38,96.78,3.45,87.5,96.73,0.01245551601423478,1.0
